香港频道,#genre# 
东森幼幼 Yoyo TV,http://192.168.31.4:8083/stv.php?id=yoyo_twn
卫视电影台,http://192.168.31.4:8083/stv.php?id=weishimovie_twn
美亚电影,http://192.168.31.4:8083/stv.php?id=meiyamovie_twn
爱尔达影剧台,http://192.168.31.4:8083/stv.php?id=eltayingju_twn
爱尔达综合台,http://192.168.31.4:8083/stv.php?id=eltazonghe_twn
星卫电影,http://192.168.31.4:8083/stv.php?id=xingwei_movie
AFC 亚洲旅游台,http://192.168.31.4:8083/stv.php?id=asiatravel_twn

电影频道,#genre# 
Cinemax,http://192.168.31.4:8083/stv.php?id=Cinemax
Animax,http://192.168.31.4:8083/stv.php?id=Animax
Movies Now HD,http://192.168.31.4:8083/stv.php?id=moviesnow_raj
Star Movies HD,http://192.168.31.4:8083/stv.php?id=starmovies_raj
HBO Family,http://192.168.31.4:8083/stv.php?id=Hbofamily
Hits,http://192.168.31.4:8083/stv.php?id=Hits
Warner TV,http://192.168.31.4:8083/stv.php?id=WarnerTV
HBO HD,http://192.168.31.4:8083/stv.php?id=Hbo
HBO Signature,http://192.168.31.4:8083/stv.php?id=Hbosignature
HBO Hits,http://192.168.31.4:8083/stv.php?id=Hbohitshd
SCM,http://192.168.31.4:8083/stv.php?id=Weishimovie
Dreamworks,http://192.168.31.4:8083/stv.php?id=Dreamworks
Thrill,http://192.168.31.4:8083/stv.php?id=Thrill
Hits Movie,http://192.168.31.4:8083/stv.php?id=Hitsmovie
One,http://192.168.31.4:8083/stv.php?id=One
tvN Movie,http://192.168.31.4:8083/stv.php?id=Tvnmovie
Celestial Classic,http://192.168.31.4:8083/stv.php?id=Celestial2
Celestial Movies HD,http://192.168.31.4:8083/stv.php?id=Celestialindo
Axn HD,http://192.168.31.4:8083/stv.php?id=Axn
Paramount Network,http://192.168.31.4:8083/stv.php?id=Paramountnetwork
Astrol Kplus,http://192.168.31.4:8083/stv.php?id=Kplus
Rock Actions,http://192.168.31.4:8083/stv.php?id=Rockaction
Rock Entertainment,http://192.168.31.4:8083/stv.php?id=Rockentertain

记录频道,#genre# 
Natgeo_HD,http://192.168.31.4:8083/stv.php?id=natgeohd_twn
NatGeo_Wild HD,http://192.168.31.4:8083/stv.php?id=natgeowild_twn
Animal_Planet,http://192.168.31.4:8083/stv.php?id=animalplanet_twn
Discovery Asia,http://192.168.31.4:8083/stv.php?id=discoverytwn_twn
CI,http://192.168.31.4:8083/stv.php?id=ci_twn
Discovery HD,http://192.168.31.4:8083/stv.php?id=discoveryhd_twn
NatGeo HD,http://192.168.31.4:8083/stv.php?id=Natgeo
Fashion TV,http://192.168.31.4:8083/stv.php?id=fashiontv_twn
History,http://192.168.31.4:8083/stv.php?id=History
BBC Earth HD,http://192.168.31.4:8083/stv.php?id=bbcearth_twn
BBC Earth Lifestyle,http://192.168.31.4:8083/stv.php?id=bbclifestyle_twn
NatGeo Wild HD,http://192.168.31.4:8083/stv.php?id=Natgeowild
Animal Planet (Eng),http://192.168.31.4:8083/stv.php?id=AnimalPlanet
TLC,http://192.168.31.4:8083/stv.php?id=Tlc
Foodnetwork Hd,http://192.168.31.4:8083/stv.php?id=Foodnetwork
HGTV,http://192.168.31.4:8083/stv.php?id=HGTV

新闻频道,#genre# 
Skynews,http://192.168.31.4:8083/stv.php?id=skynews_twn
ABC News,http://192.168.31.4:8083/stv.php?id=abcnews_glo
CBS HD,http://192.168.31.4:8083/stv.php?id=cbshd_glo
CBSN HD,http://192.168.31.4:8083/stv.php?id=cbsn_glo
France 24,http://192.168.31.4:8083/stv.php?id=france24_twn
DW (Deutsch),http://192.168.31.4:8083/stv.php?id=dw_twn
NHK World,http://192.168.31.4:8083/stv.php?id=nhkworld_japan
Fox News,http://192.168.31.4:8083/stv.php?id=foxnews_twn
CNN International,http://192.168.31.4:8083/stv.php?id=Cnn
CNN backup,http://192.168.31.4:8083/stv.php?id=cnn_twn
CNBC,http://192.168.31.4:8083/stv.php?id=cnbc_twn
CNA,http://192.168.31.4:8083/stv.php?id=cna
