
4GTV,#genre#
亞洲旅遊台,http://192.168.31.4:19950/playlist?channel=%E4%BA%9E%E6%B4%B2%E6%97%85%E9%81%8A%E5%8F%B0&token=3737

幸福空間居家台,http://192.168.31.4:19950/playlist?channel=%E5%B9%B8%E7%A6%8F%E7%A9%BA%E9%96%93%E5%B1%85%E5%AE%B6%E5%8F%B0&token=3737
Love Nature,http://192.168.31.4:19950/playlist?channel=Love%20Nature&token=3737
History 歷史頻道,http://192.168.31.4:19950/playlist?channel=History%20%E6%AD%B7%E5%8F%B2%E9%A0%BB%E9%81%93&token=3737
愛爾達生活旅遊台,http://192.168.31.4:19950/playlist?channel=%E6%84%9B%E7%88%BE%E9%81%94%E7%94%9F%E6%B4%BB%E6%97%85%E9%81%8A%E5%8F%B0&token=3737
LUXE TV Channel,http://192.168.31.4:19950/playlist?channel=LUXE%20TV%20Channel&token=3737
TV5MONDE STYLE HD 生活時尚,http://192.168.31.4:19950/playlist?channel=TV5MONDE%20STYLE%20HD%20%E7%94%9F%E6%B4%BB%E6%99%82%E5%B0%9A&token=3737
MagellanTV頻道 (麥哲倫頻道),http://192.168.31.4:19950/playlist?channel=MagellanTV%E9%A0%BB%E9%81%93%20%28%E9%BA%A5%E5%93%B2%E5%80%AB%E9%A0%BB%E9%81%93%29%20&token=3737

ROCK Xstream搖滾極限頻道,http://192.168.31.4:19950/playlist?channel=ROCK%20Xstream%E6%90%96%E6%BB%BE%E6%A5%B5%E9%99%90%E9%A0%BB%E9%81%93&token=3737
公視戲劇,http://192.168.31.4:19950/playlist?channel=%E5%85%AC%E8%A6%96%E6%88%B2%E5%8A%87&token=3737
民視影劇台,http://192.168.31.4:19950/playlist?channel=%E6%B0%91%E8%A6%96%E5%BD%B1%E5%8A%87%E5%8F%B0&token=3737
HITS頻道,http://192.168.31.4:19950/playlist?channel=HITS%E9%A0%BB%E9%81%93&token=3737
八大精彩台,http://192.168.31.4:19950/playlist?channel=%E5%85%AB%E5%A4%A7%E7%B2%BE%E5%BD%A9%E5%8F%B0&token=3737

CI 罪案偵查頻道,http://192.168.31.4:19950/playlist?channel=CI%20%E7%BD%AA%E6%A1%88%E5%81%B5%E6%9F%A5%E9%A0%BB%E9%81%93&token=3737

